row,hour,month,reward,served_ratio,total_demand,avg_util,n_trip,n_danger,n_healthy,n_disc,power_shed,r_serve,r_overload,r_danger,r_cascade,r_health,r_shed,r_topology
1,1,1,3.65057,0.952677,1587.06,0.158069,0,0,31,0,75.1047,3.81071,-0,-0,-0,0.0291536,-0.189293,-0
2,2,1,3.64963,0.952677,1581.02,0.159301,0,0,30,0,74.8192,3.81071,-0,-0,-0,0.0282132,-0.189294,-0
3,3,1,3.65061,0.952682,1584.16,0.157327,0,0,31,0,74.9585,3.81073,-0,-0,-0,0.0291536,-0.18927,-0
4,4,1,3.64965,0.95268,1564.16,0.155398,0,0,30,0,74.0165,3.81072,-0,-0,-0,0.0282132,-0.189281,-0
5,5,1,3.65051,0.952669,1640.56,0.163718,0,0,31,0,77.6493,3.81068,-0,-0,-0,0.0291536,-0.189324,-0
6,6,1,3.60271,0.952686,2290.26,0.243198,3,1,83,0,108.361,3.81074,-0.0980758,-5.70745e-06,-0.000530655,0.0780564,-0.187476,-0
7,7,1,3.62989,0.952693,2661.68,0.278951,3,1,120,0,125.916,3.81077,-0.105728,-2.96702e-05,-0.000530655,0.112853,-0.187448,-0
8,8,1,3.59229,0.952681,2770.62,0.286082,4,3,114,0,131.104,3.81072,-0.137664,-0.000132336,-0.000943387,0.10721,-0.186903,-0
9,9,1,3.61722,0.952696,3122.02,0.311825,4,2,146,0,147.684,3.81078,-0.143068,-1.81723e-05,-0.000943387,0.137304,-0.186843,-0
10,10,1,3.63444,0.952692,2879.52,0.290844,3,3,120,0,136.224,3.81077,-0.101104,-9.3747e-05,-0.000530655,0.112853,-0.187452,-0
11,11,1,3.62544,0.95269,2759.94,0.279022,3,2,112,0,130.574,3.81076,-0.102634,-1.92241e-05,-0.000530655,0.105329,-0.187462,-0
12,12,1,3.65661,0.95269,2791.74,0.281575,2,3,109,0,132.078,3.81076,-0.0681704,-0.000192954,-0.000235847,0.102508,-0.188054,-0
13,13,1,3.60001,0.952686,2837.2,0.286932,4,1,118,0,134.24,3.81074,-0.133845,-3.21319e-05,-0.000943387,0.110972,-0.186884,-0
14,14,1,3.60036,0.952683,2804.12,0.280254,4,1,117,0,132.682,3.81073,-0.132562,-3.00462e-06,-0.000943387,0.110031,-0.186893,-0
15,15,1,3.65952,0.952688,2816.06,0.280256,2,2,115,0,133.234,3.81075,-0.0709276,-0.00015897,-0.000235847,0.10815,-0.188062,-0
16,16,1,3.5992,0.952686,2794.54,0.284216,4,1,116,0,132.222,3.81074,-0.132802,-7.66238e-06,-0.000943387,0.109091,-0.186884,-0
17,17,1,3.60032,0.952693,2778.72,0.282622,4,1,116,0,131.454,3.81077,-0.131746,-1.71035e-07,-0.000943387,0.109091,-0.186857,-0
18,18,1,3.46275,0.952697,3284.96,0.348443,8,7,150,0,155.388,3.81079,-0.300596,-0.000267255,-0.00377355,0.141066,-0.184466,-0
19,19,1,3.59,0.952699,3103.06,0.331267,4,7,138,0,146.777,3.8108,-0.16241,-0.000394003,-0.000943387,0.129781,-0.186831,-0
20,20,1,3.48459,0.952696,3114.72,0.345194,7,7,144,0,147.338,3.81079,-0.273377,-0.000288792,-0.00288912,0.135423,-0.185063,-0
21,21,1,3.48957,0.952695,3113.94,0.34174,7,7,144,0,147.306,3.81078,-0.268308,-0.000360402,-0.00288912,0.135423,-0.185069,-0
22,22,1,3.52207,0.952707,3077.62,0.333956,6,5,142,0,145.551,3.81083,-0.234309,-0.00024758,-0.00212262,0.133542,-0.185615,-0
23,23,1,3.60148,0.952689,2263.74,0.239976,3,1,81,0,107.1,3.81076,-0.0974587,-3.84281e-08,-0.000530655,0.0761756,-0.187465,-0
24,0,1,3.65052,0.952671,1577.42,0.155775,0,0,31,0,74.6581,3.81068,-0,-0,-0,0.0291536,-0.189317,-0
25,1,1,3.64963,0.952676,1584.92,0.158268,0,0,30,0,75.004,3.81071,-0,-0,-0,0.0282132,-0.189294,-0
26,2,1,3.64966,0.952681,1591.62,0.157908,0,0,30,0,75.3137,3.81072,-0,-0,-0,0.0282132,-0.189276,-0
27,3,1,3.64967,0.952682,1585.96,0.158319,0,0,30,0,75.0446,3.81073,-0,-0,-0,0.0282132,-0.189272,-0
28,4,1,3.65528,0.952678,1600.16,0.160291,0,0,36,0,75.7222,3.81071,-0,-0,-0,0.0338558,-0.189287,-0
29,5,1,3.65235,0.952665,1654.34,0.165214,0,0,33,0,78.3087,3.81066,-0,-0,-0,0.0310345,-0.189341,-0
30,6,1,3.60926,0.9527,2343.52,0.251488,3,2,88,0,110.849,3.8108,-0.0962977,-4.83681e-05,-0.000530655,0.0827586,-0.187422,-0
31,7,1,3.62856,0.952701,2666.94,0.289694,3,3,119,0,126.143,3.8108,-0.106018,-0.000188808,-0.000530655,0.111912,-0.187416,-0
32,8,1,3.56303,0.952688,2819.2,0.291453,5,2,118,0,133.381,3.81075,-0.170865,-7.31561e-05,-0.00147404,0.110972,-0.186281,-0
33,9,1,3.6091,0.952688,3119.48,0.312697,4,2,143,0,147.589,3.81075,-0.148278,-3.65878e-05,-0.000943387,0.134483,-0.186876,-0
34,10,1,3.63,0.952682,2807.06,0.284039,3,2,115,0,132.824,3.81073,-0.100809,-4.60356e-05,-0.000530655,0.10815,-0.187491,-0
35,11,1,3.63723,0.952692,2825.2,0.289978,3,2,123,0,133.654,3.81077,-0.101101,-0.000126705,-0.000530655,0.115674,-0.187452,-0
36,12,1,3.60233,0.952688,2845.84,0.284401,4,0,117,0,134.641,3.81075,-0.130639,-0,-0.000943387,0.110031,-0.186873,-0
37,13,1,3.6329,0.952688,2830.88,0.288705,3,3,117,0,133.936,3.81075,-0.0997748,-0.000106624,-0.000530655,0.110031,-0.18747,-0
38,14,1,3.62991,0.952686,2826.5,0.284372,3,1,116,0,133.734,3.81074,-0.101847,-6.53571e-05,-0.000530655,0.109091,-0.187477,-0
39,15,1,3.59937,0.95269,2797.92,0.281227,4,0,115,0,132.371,3.81076,-0.131731,-0,-0.000943387,0.10815,-0.186869,-0
40,16,1,3.65972,0.95269,2846.86,0.286615,2,3,116,0,134.684,3.81076,-0.0715708,-0.000275814,-0.000235847,0.109091,-0.188052,-0
41,17,1,3.5999,0.952692,2828.86,0.284718,4,2,115,0,133.828,3.81077,-0.131125,-9.20972e-05,-0.000943387,0.10815,-0.18686,-0
42,18,1,3.45283,0.952699,3306.92,0.351515,8,7,150,0,156.422,3.81079,-0.310593,-0.000209075,-0.00377355,0.141066,-0.18446,-0
43,19,1,3.46353,0.952701,3097.72,0.335955,8,2,143,0,146.518,3.81081,-0.293487,-4.88402e-05,-0.00377355,0.134483,-0.18445,-0
44,20,1,3.45818,0.952692,3166.6,0.34554,8,4,146,0,149.805,3.81077,-0.301511,-0.000118482,-0.00377355,0.137304,-0.184486,-0
45,21,1,3.51421,0.952694,3170.62,0.346009,6,8,147,0,149.989,3.81078,-0.246709,-0.000311708,-0.00212262,0.138245,-0.185665,-0
46,22,1,3.44467,0.952696,3097.84,0.335414,8,4,137,0,146.54,3.81078,-0.30664,-7.29968e-05,-0.00377355,0.12884,-0.184471,-0
47,23,1,3.66386,0.952682,2251.94,0.229893,1,2,80,0,106.558,3.81073,-0.0331105,-0.00024778,-5.89617e-05,0.0752351,-0.18868,-0
48,0,1,3.65237,0.952666,1612.58,0.160377,0,0,33,0,76.3291,3.81067,-0,-0,-0,0.0310345,-0.189334,-0
49,1,1,3.65343,0.952682,1604.5,0.16406,0,0,34,0,75.9218,3.81073,-0,-0,-0,0.0319749,-0.189272,-0
50,2,1,3.65153,0.95268,1596.92,0.159021,0,0,32,0,75.5664,3.81072,-0,-0,-0,0.030094,-0.18928,-0
51,3,1,3.65152,0.952678,1584.76,0.157694,0,0,32,0,74.9934,3.81071,-0,-0,-0,0.030094,-0.189286,-0
52,4,1,3.65062,0.952684,1587.9,0.161255,0,0,31,0,75.1335,3.81073,-0,-0,-0,0.0291536,-0.189265,-0
53,5,1,3.65335,0.952671,1682.22,0.16811,0,0,34,0,79.6171,3.81069,-0,-0,-0,0.0319749,-0.189314,-0
54,6,1,3.63616,0.952697,2290.26,0.23976,2,1,83,0,108.336,3.81079,-0.0643692,-5.67876e-05,-0.000235847,0.0780564,-0.188025,-0
55,7,1,3.62812,0.952704,2658.26,0.287465,3,1,124,0,125.726,3.81081,-0.111342,-2.54667e-05,-0.000530655,0.116614,-0.187406,-0
56,8,1,3.59274,0.952678,2808.74,0.290216,4,4,117,0,132.916,3.81071,-0.139979,-0.000169409,-0.000943387,0.110031,-0.186915,-0
57,9,1,3.64114,0.952685,3133,0.31368,3,3,145,0,148.237,3.81074,-0.117753,-0.000206595,-0.000530655,0.136364,-0.187479,-0
58,10,1,3.60108,0.952686,2821.26,0.283513,4,0,117,0,133.486,3.81074,-0.13187,-0,-0.000943387,0.110031,-0.186885,-0
59,11,1,3.63242,0.952686,2829.04,0.286949,3,2,122,0,133.854,3.81074,-0.104981,-7.14702e-05,-0.000530655,0.114734,-0.187477,-0
60,12,1,3.63333,0.952689,2839.76,0.288828,3,2,120,0,134.352,3.81076,-0.102097,-0.000183006,-0.000530655,0.112853,-0.187464,-0
61,13,1,3.66048,0.952688,2840.24,0.286936,2,3,116,0,134.378,3.81075,-0.0708932,-0.000168774,-0.000235847,0.109091,-0.188062,-0
62,14,1,3.60272,0.95269,2830.06,0.286268,4,0,119,0,133.89,3.81076,-0.132138,-0,-0.000943387,0.111912,-0.186867,-0
63,15,1,3.65976,0.952687,2779.78,0.278197,2,3,112,0,131.521,3.81075,-0.0678114,-0.000202823,-0.000235847,0.105329,-0.188067,-0
64,16,1,3.66597,0.952694,2848.22,0.287179,2,3,121,0,134.739,3.81077,-0.0701097,-0.000217375,-0.000235847,0.113793,-0.188039,-0
65,17,1,3.62838,0.952685,2815.94,0.285259,3,2,114,0,133.235,3.81074,-0.101464,-0.000103359,-0.000530655,0.10721,-0.187479,-0
66,18,1,3.49406,0.952693,3291,0.339875,7,4,147,0,155.688,3.81077,-0.266865,-0.000128231,-0.00288912,0.138245,-0.185076,-0
67,19,1,3.52446,0.952701,3154.9,0.33719,6,7,142,0,149.224,3.8108,-0.231901,-0.000220342,-0.00212262,0.133542,-0.185638,-0
68,20,1,3.53273,0.952705,3149.08,0.339471,6,5,144,0,148.937,3.81082,-0.225423,-0.000338631,-0.00212262,0.135423,-0.185623,-0
69,21,1,3.48631,0.952704,3143.82,0.34424,7,5,142,0,148.691,3.81081,-0.26989,-0.000235254,-0.00288912,0.133542,-0.185034,-0
70,22,1,3.58597,0.952707,3011.22,0.324793,4,7,138,0,142.41,3.81083,-0.166648,-0.000240862,-0.000943387,0.129781,-0.186801,-0
71,23,1,3.66442,0.952693,2249.66,0.231215,1,2,81,0,106.425,3.81077,-0.0335856,-0.000250151,-5.89617e-05,0.0761756,-0.188635,-0
72,0,1,3.65143,0.952668,1600.98,0.158938,0,0,32,0,75.7783,3.81067,-0,-0,-0,0.030094,-0.18933,-0
73,1,1,3.65247,0.95268,1605.02,0.161918,0,0,33,0,75.9498,3.81072,-0,-0,-0,0.0310345,-0.189281,-0
74,2,1,3.65244,0.952675,1622.5,0.160918,0,0,33,0,76.7841,3.8107,-0,-0,-0,0.0310345,-0.189298,-0
75,3,1,3.64873,0.952683,1574.26,0.156009,0,0,29,0,74.4897,3.81073,-0,-0,-0,0.0272727,-0.189269,-0
76,4,1,3.65246,0.952679,1590.4,0.157686,0,0,33,0,75.2599,3.81071,-0,-0,-0,0.0310345,-0.189285,-0
77,5,1,3.65239,0.95267,1664.86,0.164758,0,0,33,0,78.7985,3.81068,-0,-0,-0,0.0310345,-0.189321,-0
78,6,1,3.63858,0.952701,2324.76,0.240851,2,1,86,0,109.959,3.8108,-0.0647348,-0.000122379,-0.000235847,0.0808777,-0.18801,-0
79,7,1,3.62611,0.952703,2619.7,0.280257,3,2,114,0,123.903,3.81081,-0.103897,-8.40103e-05,-0.000530655,0.10721,-0.187407,-0
80,8,1,3.42278,0.952688,2839.14,0.309106,9,5,120,0,134.327,3.81075,-0.312085,-4.93387e-05,-0.0047759,0.112853,-0.18391,-0
81,9,1,3.60861,0.952694,3157.94,0.318033,4,2,146,0,149.391,3.81077,-0.151541,-0.000133847,-0.000943387,0.137304,-0.186853,-0
82,10,1,3.65906,0.952686,2751.7,0.275545,2,2,110,0,130.193,3.81075,-0.0666838,-0.000143494,-0.000235847,0.103448,-0.188068,-0
83,11,1,3.60286,0.95269,2867.44,0.289591,4,1,122,0,135.66,3.81076,-0.134805,-1.8016e-05,-0.000943387,0.114734,-0.186869,-0
84,12,1,3.62775,0.952685,2810.66,0.282091,3,3,112,0,132.988,3.81074,-0.100145,-0.000158833,-0.000530655,0.105329,-0.187482,-0
85,13,1,3.63092,0.952691,2834.96,0.282895,3,1,116,0,134.118,3.81077,-0.100892,-6.20686e-05,-0.000530655,0.109091,-0.187455,-0
86,14,1,3.66001,0.952691,2833.66,0.285726,2,3,114,0,134.058,3.81076,-0.0694797,-0.000200013,-0.000235847,0.10721,-0.18805,-0
87,15,1,3.63692,0.952696,2874.52,0.288354,3,1,122,0,135.977,3.81078,-0.100554,-7.80378e-05,-0.000530655,0.114734,-0.187437,-0
88,16,1,3.66379,0.952692,2820.16,0.286962,2,3,118,0,133.416,3.81077,-0.0693972,-0.000271325,-0.000235847,0.110972,-0.188045,-0
89,17,1,3.65853,0.952684,2800.94,0.28394,2,3,113,0,132.528,3.81074,-0.0699756,-0.000191526,-0.000235847,0.10627,-0.188076,-0
90,18,1,3.34644,0.952701,3292.36,0.363879,11,9,149,0,155.725,3.8108,-0.414222,-0.00046199,-0.00713436,0.140125,-0.182671,-0
91,19,1,3.42115,0.952703,3151.3,0.350815,9,6,145,0,149.047,3.81081,-0.337253,-0.000144875,-0.0047759,0.136364,-0.183851,-0
92,20,1,3.48451,0.952697,3132.36,0.343041,7,8,139,0,148.172,3.81079,-0.268798,-0.000244399,-0.00288912,0.130721,-0.185062,-0
93,21,1,3.56124,0.9527,3119.68,0.33674,5,6,144,0,147.562,3.8108,-0.196867,-0.000405243,-0.00147404,0.135423,-0.186236,-0
94,22,1,3.52141,0.952712,3113.9,0.334325,6,6,143,0,147.252,3.81085,-0.236028,-0.000172853,-0.00212262,0.134483,-0.185596,-0
95,23,1,3.62999,0.952691,2267.76,0.233218,2,1,78,0,107.285,3.81076,-0.0657064,-0.000134692,-0.000235847,0.0733542,-0.188049,-0
96,0,1,3.6524,0.95267,1605.78,0.159035,0,0,33,0,76.001,3.81068,-0,-0,-0,0.0310345,-0.189318,-0
97,1,1,3.65157,0.952685,1599.44,0.162497,0,0,32,0,75.6782,3.81074,-0,-0,-0,0.030094,-0.189262,-0
98,2,1,3.65527,0.952676,1585.28,0.1601,0,0,36,0,75.0215,3.8107,-0,-0,-0,0.0338558,-0.189295,-0
99,3,1,3.65438,0.952683,1608.96,0.162625,0,0,35,0,76.1312,3.81073,-0,-0,-0,0.0329154,-0.189268,-0
100,4,1,3.65065,0.952687,1605.28,0.157836,0,0,31,0,75.951,3.81075,-0,-0,-0,0.0291536,-0.189253,-0
101,5,1,3.6543,0.952674,1665.84,0.167506,0,0,35,0,78.8383,3.81069,-0,-0,-0,0.0329154,-0.189306,-0
102,6,1,3.6144,0.952701,2352.9,0.246415,3,0,93,0,111.291,3.8108,-0.0959153,-0,-0.000530655,0.0874608,-0.187418,-0
103,7,1,3.62598,0.95271,2659.4,0.292436,3,4,119,0,125.763,3.81084,-0.108772,-8.87062e-05,-0.000530655,0.111912,-0.187381,-0
104,8,1,3.59189,0.952685,2858.38,0.295545,4,4,119,0,135.243,3.81074,-0.142675,-0.000258926,-0.000943387,0.111912,-0.186885,-0
105,9,1,3.6123,0.952695,3154.9,0.314473,4,2,146,0,149.243,3.81078,-0.147978,-1.71292e-05,-0.000943387,0.137304,-0.186847,-0
106,10,1,3.62784,0.95269,2798.44,0.280516,3,2,114,0,132.394,3.81076,-0.102029,-0.000109027,-0.000530655,0.10721,-0.187459,-0
107,11,1,3.63157,0.952688,2837.98,0.284863,3,2,117,0,134.269,3.81075,-0.101109,-0.000112287,-0.000530655,0.110031,-0.187467,-0
108,12,1,3.60346,0.952694,2882.52,0.293028,4,2,122,0,136.361,3.81078,-0.134214,-4.20352e-05,-0.000943387,0.114734,-0.186852,-0
109,13,1,3.66312,0.952693,2855.12,0.285464,2,2,118,0,135.067,3.81077,-0.0701078,-0.000235733,-0.000235847,0.110972,-0.188041,-0
110,14,1,3.60282,0.952691,2835.24,0.288361,4,1,120,0,134.132,3.81077,-0.132956,-3.55995e-05,-0.000943387,0.112853,-0.186862,-0
111,15,1,3.66065,0.952689,2807.44,0.284206,2,3,117,0,132.824,3.81075,-0.0716553,-0.000183419,-0.000235847,0.110031,-0.188059,-0
112,16,1,3.66105,0.952685,2789.6,0.281717,2,3,115,0,131.99,3.81074,-0.0694244,-0.000111089,-0.000235847,0.10815,-0.188073,-0
113,17,1,3.63451,0.95269,2868.18,0.290101,3,3,121,0,135.693,3.81076,-0.101949,-0.000107833,-0.000530655,0.113793,-0.18746,-0
114,18,1,3.43542,0.952703,3306.74,0.358769,8,12,147,0,156.399,3.81081,-0.324915,-0.000502666,-0.00377355,0.138245,-0.184444,-0
115,19,1,3.48887,0.952709,3142.08,0.341908,7,5,141,0,148.591,3.81084,-0.266552,-0.000117172,-0.00288912,0.132602,-0.185012,-0
116,20,1,3.5332,0.952706,3086.64,0.335446,6,5,144,0,145.98,3.81082,-0.225041,-0.000266116,-0.00212262,0.135423,-0.185619,-0
117,21,1,3.59257,0.952706,3112.62,0.337078,4,8,142,0,147.209,3.81082,-0.163561,-0.000484084,-0.000943387,0.133542,-0.186805,-0
118,22,1,3.41588,0.952706,3151.3,0.344903,9,3,144,0,149.036,3.81083,-0.341587,-0.000166753,-0.0047759,0.135423,-0.183837,-0
119,23,1,3.62968,0.952697,2254.12,0.238099,2,1,77,0,106.626,3.81079,-0.0651422,-0.000120468,-0.000235847,0.0724138,-0.188025,-0
120,0,1,3.64887,0.9527,1453.3,0.154419,0,0,29,0,68.7408,3.8108,-0,-0,-0,0.0272727,-0.189199,-0
121,1,1,3.65076,0.9527,1452.48,0.154315,0,0,31,0,68.7019,3.8108,-0,-0,-0,0.0291536,-0.189199,-0
122,2,1,3.647,0.952701,1446.74,0.152752,0,0,27,0,68.4291,3.8108,-0,-0,-0,0.0253919,-0.189195,-0
123,3,1,3.64701,0.952702,1443.72,0.151274,0,0,27,0,68.2847,3.81081,-0,-0,-0,0.0253919,-0.189191,-0
124,4,1,3.65168,0.952698,1466.22,0.156705,0,0,32,0,69.3546,3.81079,-0,-0,-0,0.030094,-0.189207,-0
125,5,1,3.65344,0.952683,1521.52,0.161231,0,0,34,0,71.9941,3.81073,-0,-0,-0,0.0319749,-0.189269,-0
126,6,1,3.61417,0.952706,2237.8,0.253191,3,0,95,0,105.835,3.81082,-0.0980676,-0,-0.000530655,0.0893417,-0.187398,-0
127,7,1,3.59343,0.952708,2599.04,0.306774,4,7,119,0,122.915,3.81083,-0.141156,-0.000420861,-0.000943387,0.111912,-0.186797,-0
128,8,1,3.59704,0.952707,2741.74,0.307665,4,4,128,0,129.665,3.81083,-0.146384,-3.71305e-05,-0.000943387,0.120376,-0.1868,-0
129,9,1,3.6277,0.95271,2872.66,0.29784,3,4,127,0,135.847,3.81084,-0.11445,-0.000219204,-0.000530655,0.119436,-0.187379,-0
130,10,1,3.64514,0.952714,2517,0.25723,2,1,97,0,119.019,3.81086,-0.0686006,-0.000139909,-0.000235847,0.0912226,-0.187958,-0
131,11,1,3.61295,0.952702,2504.82,0.254855,3,0,95,0,118.473,3.81081,-0.0992535,-0,-0.000530655,0.0893417,-0.187413,-0
132,12,1,3.61252,0.952707,2487.04,0.253226,3,0,94,0,117.618,3.81083,-0.0987857,-0,-0.000530655,0.0884013,-0.187391,-0
133,13,1,3.61462,0.952708,2559.32,0.271953,3,2,104,0,121.037,3.81083,-0.10609,-6.7697e-06,-0.000530655,0.0978056,-0.187391,-0
134,14,1,3.61022,0.952706,2495.78,0.256001,3,0,93,0,118.035,3.81082,-0.100136,-0,-0.000530655,0.0874608,-0.187397,-0
135,15,1,3.61275,0.952703,2463.04,0.252787,3,0,93,0,116.496,3.81081,-0.0975815,-0,-0.000530655,0.0874608,-0.187411,-0
136,16,1,3.61505,0.952709,2542.86,0.261546,3,0,100,0,120.253,3.81084,-0.101916,-0,-0.000530655,0.0940439,-0.187384,-0
137,17,1,3.6139,0.952704,2519.84,0.257644,3,0,97,0,119.178,3.81082,-0.100201,-0,-0.000530655,0.0912226,-0.187404,-0
138,18,1,3.4094,0.952712,3234.66,0.371037,9,8,155,0,152.961,3.81085,-0.358148,-0.000473607,-0.0047759,0.145768,-0.183816,-0
139,19,1,3.37581,0.952711,3168.4,0.374911,10,6,159,0,149.832,3.81084,-0.395074,-0.000368658,-0.00589617,0.14953,-0.183228,-0
140,20,1,3.3863,0.952711,3126.06,0.365991,10,6,153,0,147.829,3.81084,-0.379074,-0.000235054,-0.00589617,0.143887,-0.183227,-0
141,21,1,3.42037,0.952707,3168.28,0.360682,9,7,155,0,149.837,3.81083,-0.34738,-0.000235198,-0.0047759,0.145768,-0.183834,-0
142,22,1,3.40002,0.952713,3069.92,0.357489,9,8,140,0,145.167,3.81085,-0.353694,-0.000208176,-0.0047759,0.131661,-0.183811,-0
143,23,1,3.60956,0.952711,2209.56,0.251009,3,1,89,0,104.487,3.81085,-0.0970738,-1.19153e-06,-0.000530655,0.0836991,-0.187375,-0
144,0,1,3.6545,0.952698,1471.84,0.157718,0,0,35,0,69.6205,3.81079,-0,-0,-0,0.0329154,-0.189207,-0
145,1,1,3.64323,0.9527,1434.8,0.149427,0,0,23,0,67.8656,3.8108,-0,-0,-0,0.0216301,-0.189199,-0
146,2,1,3.64797,0.952705,1461.22,0.153219,0,0,28,0,69.1085,3.81082,-0,-0,-0,0.0263323,-0.18918,-0
147,3,1,3.65167,0.952698,1434.28,0.152858,0,0,32,0,67.845,3.81079,-0,-0,-0,0.030094,-0.18921,-0
148,4,1,3.64981,0.9527,1448.16,0.153161,0,0,30,0,68.4979,3.8108,-0,-0,-0,0.0282132,-0.1892,-0
149,5,1,3.65535,0.952687,1522.76,0.166089,0,0,36,0,72.0458,3.81075,-0,-0,-0,0.0338558,-0.189251,-0
150,6,1,3.61526,0.952707,2254.5,0.255735,3,1,97,0,106.621,3.81083,-0.098867,-2.45117e-06,-0.000530655,0.0912226,-0.187392,-0
151,7,1,3.59479,0.952711,2616.3,0.301418,4,4,122,0,123.722,3.81084,-0.142912,-0.000146507,-0.000943387,0.114734,-0.186784,-0
152,8,1,3.62873,0.9527,2697.9,0.305824,3,6,125,0,127.61,3.8108,-0.111582,-9.28227e-05,-0.000530655,0.117555,-0.18742,-0
153,9,1,3.5894,0.952705,2894.2,0.304232,4,4,130,0,136.881,3.81082,-0.155731,-0.000197954,-0.000943387,0.122257,-0.186807,-0
154,10,1,3.61232,0.952705,2503.16,0.254744,3,0,94,0,118.387,3.81082,-0.0989668,-0,-0.000530655,0.0884013,-0.187401,-0
155,11,1,3.61886,0.952709,2532.08,0.260156,3,0,103,0,119.743,3.81084,-0.100928,-0,-0.000530655,0.0968652,-0.187383,-0
