row,hour,month,reward,served_ratio,total_demand,avg_util,n_trip,n_danger,n_healthy,n_disc,power_shed,r_serve,r_overload,r_danger,r_cascade,r_health,r_shed,r_topology
156,12,1,3.61629,0.9527,2515.84,0.254825,3,1,98,0,118.998,3.8108,-0.0987209,-1.40564e-08,-0.000530655,0.092163,-0.187419,-0
157,13,1,3.61285,0.952705,2498.82,0.255076,3,0,96,0,118.183,3.81082,-0.10032,-0,-0.000530655,0.0902821,-0.187403,-0
158,14,1,3.61691,0.952702,2551.66,0.260456,3,0,103,0,120.689,3.81081,-0.102822,-0,-0.000530655,0.0968652,-0.187414,-0
159,15,1,3.6178,0.952707,2528.02,0.260264,3,0,101,0,119.558,3.81083,-0.100083,-0,-0.000530655,0.0949843,-0.187394,-0
160,16,1,3.61419,0.952706,2485.52,0.255737,3,0,98,0,117.55,3.81082,-0.100874,-0,-0.000530655,0.092163,-0.187397,-0
161,17,1,3.61384,0.952705,2499.68,0.2533,3,0,96,0,118.223,3.81082,-0.0993282,-0,-0.000530655,0.0902821,-0.187402,-0
162,18,1,3.41279,0.952709,3287.52,0.371879,9,7,160,0,155.471,3.81083,-0.359555,-0.000359241,-0.0047759,0.15047,-0.183829,-0
163,19,1,3.34764,0.952711,3132.52,0.372604,11,7,151,0,148.134,3.81084,-0.415181,-0.000262839,-0.00713436,0.142006,-0.182634,-0
164,20,1,3.4168,0.9527,3138.7,0.361708,9,7,152,0,148.461,3.8108,-0.348019,-0.000285724,-0.0047759,0.142947,-0.183862,-0
165,21,1,3.41015,0.952704,3175.26,0.368014,9,9,149,0,150.177,3.81082,-0.351878,-0.000293347,-0.0047759,0.140125,-0.183847,-0
166,22,1,3.37427,0.952712,3159.34,0.372023,10,9,152,0,149.4,3.81085,-0.39006,-0.000347198,-0.00589617,0.142947,-0.183223,-0
167,23,1,3.61047,0.952699,2210.56,0.252557,3,0,92,0,104.562,3.8108,-0.0988918,-0,-0.000530655,0.0865204,-0.187426,-0
168,0,1,3.65143,0.952667,1605.9,0.158193,0,0,32,0,76.0127,3.81067,-0,-0,-0,0.030094,-0.189334,-0
169,1,1,3.65148,0.952674,1566.04,0.155662,0,0,32,0,74.1146,3.8107,-0,-0,-0,0.030094,-0.189305,-0
170,2,1,3.64961,0.952674,1593.98,0.157044,0,0,30,0,75.436,3.8107,-0,-0,-0,0.0282132,-0.189302,-0
171,3,1,3.65058,0.952679,1609.64,0.160499,0,0,31,0,76.17,3.81072,-0,-0,-0,0.0291536,-0.189285,-0
172,4,1,3.65061,0.952682,1616.64,0.160594,0,0,31,0,76.4968,3.81073,-0,-0,-0,0.0291536,-0.189274,-0
173,5,1,3.65236,0.952665,1650.5,0.167319,0,0,33,0,78.1257,3.81066,-0,-0,-0,0.0310345,-0.189338,-0
174,6,1,3.63781,0.952694,2316.16,0.243968,2,1,85,0,109.569,3.81078,-0.0646041,-2.79686e-05,-0.000235847,0.0799373,-0.188038,-0
175,7,1,3.59504,0.952695,2665.5,0.289889,4,2,118,0,126.092,3.81078,-0.138781,-0.000133433,-0.000943387,0.110972,-0.186848,-0
176,8,1,3.55657,0.952691,2853.48,0.304408,5,9,120,0,134.994,3.81077,-0.178931,-0.000372701,-0.00147404,0.112853,-0.186269,-0
177,9,1,3.61308,0.952692,3151.38,0.314626,4,2,144,0,149.085,3.81077,-0.145302,-1.15575e-05,-0.000943387,0.135423,-0.186858,-0
178,10,1,3.62612,0.95269,2780.96,0.277556,3,3,109,0,131.568,3.81076,-0.0991227,-2.92048e-05,-0.000530655,0.102508,-0.187462,-0
179,11,1,3.63787,0.95269,2846.28,0.28712,3,1,124,0,134.656,3.81076,-0.101378,-0.000140148,-0.000530655,0.116614,-0.187459,-0
180,12,1,3.62966,0.95269,2840.72,0.287441,3,2,116,0,134.393,3.81076,-0.1021,-9.94777e-05,-0.000530655,0.109091,-0.187458,-0
181,13,1,3.59455,0.952689,2807.6,0.285932,4,1,112,0,132.831,3.81076,-0.133643,-7.38015e-05,-0.000943387,0.105329,-0.186872,-0
182,14,1,3.65972,0.952686,2808.78,0.280459,2,3,113,0,132.893,3.81075,-0.0688794,-0.000112581,-0.000235847,0.10627,-0.188068,-0
183,15,1,3.63357,0.952691,2842.12,0.28686,3,2,120,0,134.457,3.81077,-0.10193,-0.000131025,-0.000530655,0.112853,-0.187455,-0
184,16,1,3.62478,0.952684,2814.94,0.283493,3,2,111,0,133.192,3.81074,-0.102206,-0.000122921,-0.000530655,0.104389,-0.187485,-0
185,17,1,3.65734,0.952686,2838.2,0.28471,2,3,113,0,134.286,3.81074,-0.0712222,-0.00014636,-0.000235847,0.10627,-0.188069,-0
186,18,1,3.49826,0.952697,3285.32,0.342234,7,2,153,0,155.405,3.81079,-0.268383,-8.54091e-05,-0.00288912,0.143887,-0.185059,-0
187,19,1,3.58571,0.952707,3143.56,0.340184,4,6,147,0,148.667,3.81083,-0.175223,-0.000398868,-0.000943387,0.138245,-0.186798,-0
188,20,1,3.52075,0.952699,3139.04,0.344802,6,8,143,0,148.481,3.81079,-0.236506,-0.000255335,-0.00212262,0.134483,-0.185647,-0
189,21,1,3.55676,0.952701,3111.74,0.338601,5,7,146,0,147.183,3.8108,-0.203455,-0.000187996,-0.00147404,0.137304,-0.186231,-0
190,22,1,3.48544,0.952704,3104.58,0.341464,7,6,147,0,146.835,3.81081,-0.275494,-0.000199945,-0.00288912,0.138245,-0.185034,-0
191,23,1,3.60333,0.952684,2284.34,0.235967,3,0,83,0,108.085,3.81074,-0.0974495,-0,-0.000530655,0.0780564,-0.187483,-0
192,0,1,3.64862,0.952669,1611.06,0.158947,0,0,29,0,76.2533,3.81068,-0,-0,-0,0.0272727,-0.189325,-0
193,1,1,3.6506,0.952681,1595.4,0.159312,0,0,31,0,75.4933,3.81072,-0,-0,-0,0.0291536,-0.189277,-0
194,2,1,3.65342,0.95268,1620,0.162976,0,0,34,0,76.6581,3.81072,-0,-0,-0,0.0319749,-0.189279,-0
195,3,1,3.65061,0.952682,1591.94,0.158719,0,0,31,0,75.3271,3.81073,-0,-0,-0,0.0291536,-0.189271,-0
196,4,1,3.65338,0.952675,1608.58,0.162307,0,0,34,0,76.1255,3.8107,-0,-0,-0,0.0319749,-0.189299,-0
197,5,1,3.65332,0.952668,1660.56,0.167052,0,0,34,0,78.597,3.81067,-0,-0,-0,0.0319749,-0.189327,-0
198,6,1,3.6423,0.952699,2353.02,0.243662,2,1,90,0,111.3,3.8108,-0.0648599,-2.38425e-05,-0.000235847,0.0846395,-0.188017,-0
199,7,1,3.62743,0.9527,2659.6,0.285906,3,3,119,0,125.798,3.8108,-0.107281,-5.69255e-05,-0.000530655,0.111912,-0.187419,-0
200,8,1,3.55949,0.952682,2857.76,0.304859,5,7,121,0,135.224,3.81073,-0.176912,-0.000335142,-0.00147404,0.113793,-0.186306,-0
201,9,1,3.61006,0.952691,3211.4,0.321204,4,3,148,0,151.929,3.81076,-0.151967,-0.000113971,-0.000943387,0.139185,-0.186864,-0
202,10,1,3.62861,0.952682,2829.84,0.285415,3,2,116,0,133.903,3.81073,-0.103134,-4.69709e-05,-0.000530655,0.109091,-0.187492,-0
203,11,1,3.62987,0.952685,2827.94,0.283858,3,2,118,0,133.804,3.81074,-0.103656,-0.000171546,-0.000530655,0.110972,-0.18748,-0
204,12,1,3.59736,0.952687,2855.02,0.290412,4,2,116,0,135.079,3.81075,-0.134648,-8.99339e-06,-0.000943387,0.109091,-0.186878,-0
205,13,1,3.59705,0.952682,2823.36,0.283603,4,0,116,0,133.595,3.81073,-0.134926,-0,-0.000943387,0.109091,-0.186898,-0
206,14,1,3.60168,0.952686,2868.06,0.289385,4,1,121,0,135.698,3.81075,-0.135029,-9.44958e-06,-0.000943387,0.113793,-0.186881,-0
207,15,1,3.63246,0.952693,2841.24,0.284964,3,3,116,0,134.409,3.81077,-0.0993941,-3.49519e-05,-0.000530655,0.109091,-0.187447,-0
208,16,1,3.60267,0.95269,2814.92,0.284403,4,1,118,0,133.173,3.81076,-0.131255,-5.63529e-07,-0.000943387,0.110972,-0.186866,-0
209,17,1,3.62859,0.952688,2829.58,0.28536,3,3,114,0,133.874,3.81075,-0.101312,-6.2456e-05,-0.000530655,0.10721,-0.187469,-0
210,18,1,3.44785,0.952697,3334.96,0.356485,8,8,151,0,157.753,3.81079,-0.316357,-0.000348418,-0.00377355,0.142006,-0.184466,-0
211,19,1,3.46573,0.952703,3155.82,0.34092,8,4,145,0,149.262,3.81081,-0.293121,-0.000101136,-0.00377355,0.136364,-0.184445,-0
212,20,1,3.51935,0.952704,3153.06,0.341123,6,6,141,0,149.126,3.81082,-0.235852,-0.000464104,-0.00212262,0.132602,-0.185625,-0
213,21,1,3.49039,0.952704,3139.32,0.347605,7,7,148,0,148.478,3.81081,-0.271544,-0.000145318,-0.00288912,0.139185,-0.185034,-0
214,22,1,3.51665,0.952703,3113.1,0.340884,6,4,145,0,147.241,3.81081,-0.242413,-0.000358306,-0.00212262,0.136364,-0.18563,-0
215,23,1,3.60102,0.952698,2275.68,0.242887,3,0,81,0,107.645,3.81079,-0.0979847,-0,-0.000530655,0.0761756,-0.18743,-0
216,0,1,3.65429,0.952672,1608.56,0.162751,0,0,35,0,76.1299,3.81069,-0,-0,-0,0.0329154,-0.189312,-0
217,1,1,3.65436,0.95268,1614.46,0.1609,0,0,35,0,76.3961,3.81072,-0,-0,-0,0.0329154,-0.18928,-0
218,2,1,3.65061,0.952682,1588.98,0.157648,0,0,31,0,75.1877,3.81073,-0,-0,-0,0.0291536,-0.189273,-0
219,3,1,3.65156,0.952684,1599.42,0.158373,0,0,32,0,75.6787,3.81073,-0,-0,-0,0.030094,-0.189265,-0
220,4,1,3.65154,0.95268,1596.58,0.159158,0,0,32,0,75.5498,3.81072,-0,-0,-0,0.030094,-0.189279,-0
221,5,1,3.65614,0.952668,1684.56,0.166449,0,0,37,0,79.7343,3.81067,-0,-0,-0,0.0347962,-0.18933,-0
222,6,1,3.60797,0.952701,2351.58,0.248328,3,1,87,0,111.227,3.8108,-0.0967029,-7.73339e-07,-0.000530655,0.0818182,-0.187417,-0
223,7,1,3.62989,0.952699,2692.82,0.286694,3,2,119,0,127.373,3.8108,-0.104755,-0.000110615,-0.000530655,0.111912,-0.187424,-0
224,8,1,3.56231,0.952682,2863.64,0.299647,5,3,124,0,135.502,3.81073,-0.177143,-0.000107555,-0.00147404,0.116614,-0.186305,-0
225,9,1,3.61139,0.952684,3202.94,0.320275,4,2,151,0,151.55,3.81074,-0.15341,-0.000108693,-0.000943387,0.142006,-0.186891,-0
226,10,1,3.634,0.952685,2865.56,0.287713,3,1,122,0,135.584,3.81074,-0.103337,-0.000123679,-0.000530655,0.114734,-0.187481,-0
227,11,1,3.62956,0.952687,2825.96,0.285052,3,2,116,0,133.704,3.81075,-0.102168,-0.000105515,-0.000530655,0.109091,-0.187472,-0
228,12,1,3.59742,0.952687,2813.16,0.284554,4,0,114,0,133.098,3.81075,-0.132721,-0,-0.000943387,0.10721,-0.186877,-0
229,13,1,3.62859,0.952684,2823.96,0.287221,3,2,116,0,133.619,3.81074,-0.103031,-0.000192046,-0.000530655,0.109091,-0.187484,-0
230,14,1,3.6007,0.952691,2883.54,0.292848,4,2,121,0,136.419,3.81076,-0.136033,-1.03967e-05,-0.000943387,0.113793,-0.186865,-0
231,15,1,3.65727,0.952689,2774.78,0.276545,2,2,110,0,131.277,3.81076,-0.0684896,-0.000157058,-0.000235847,0.103448,-0.188057,-0
232,16,1,3.60265,0.952688,2851.72,0.287091,4,1,121,0,134.92,3.81075,-0.134072,-4.47477e-06,-0.000943387,0.113793,-0.186874,-0
233,17,1,3.63188,0.952688,2848.58,0.285945,3,2,118,0,134.773,3.81075,-0.101709,-0.000132628,-0.000530655,0.110972,-0.18747,-0
234,18,1,3.48492,0.952697,3329.48,0.348015,7,9,145,0,157.494,3.81079,-0.274093,-0.000188223,-0.00288912,0.136364,-0.18506,-0
235,19,1,3.45928,0.952701,3170.24,0.3455,8,5,145,0,149.95,3.8108,-0.299558,-0.000107955,-0.00377355,0.136364,-0.184452,-0
236,20,1,3.48763,0.952702,3120.24,0.341047,7,7,141,0,147.581,3.81081,-0.267677,-0.000172777,-0.00288912,0.132602,-0.18504,-0
237,21,1,3.42836,0.952702,3213,0.35097,9,4,149,0,151.969,3.81081,-0.33386,-7.71272e-05,-0.0047759,0.140125,-0.183855,-0
238,22,1,3.48441,0.952712,3145.06,0.342353,7,4,145,0,148.725,3.81085,-0.274707,-0.000203591,-0.00288912,0.136364,-0.185003,-0
239,23,1,3.60478,0.952688,2282.36,0.236863,3,0,84,0,107.984,3.81075,-0.096969,-0,-0.000530655,0.0789969,-0.18747,-0
240,0,1,3.65431,0.952674,1597.88,0.161514,0,0,35,0,75.6217,3.81069,-0,-0,-0,0.0329154,-0.189305,-0
241,1,1,3.64963,0.952678,1597.48,0.157093,0,0,30,0,75.5967,3.81071,-0,-0,-0,0.0282132,-0.18929,-0
242,2,1,3.65341,0.95268,1613.28,0.1617,0,0,34,0,76.3408,3.81072,-0,-0,-0,0.0319749,-0.189281,-0
243,3,1,3.65155,0.952682,1597.88,0.160615,0,0,32,0,75.6084,3.81073,-0,-0,-0,0.030094,-0.189272,-0
244,4,1,3.65154,0.95268,1594.92,0.160442,0,0,32,0,75.4708,3.81072,-0,-0,-0,0.030094,-0.189278,-0
245,5,1,3.65427,0.95267,1700.06,0.171512,0,1,35,0,80.4647,3.81068,-0,-9.81493e-08,-0,0.0329154,-0.189322,-0
246,6,1,3.6372,0.952696,2322.82,0.23888,2,1,84,0,109.879,3.81078,-0.0642626,-5.18767e-05,-0.000235847,0.0789969,-0.18803,-0
247,7,1,3.62742,0.952704,2710.26,0.297282,3,5,121,0,128.183,3.81082,-0.109072,-0.000183722,-0.000530655,0.113793,-0.187403,-0
248,8,1,3.56258,0.952683,2857.2,0.297936,5,5,120,0,135.194,3.81073,-0.173049,-0.000179033,-0.00147404,0.112853,-0.186301,-0
249,9,1,3.61481,0.952696,3133.12,0.313738,4,2,145,0,148.21,3.81078,-0.144499,-5.00371e-05,-0.000943387,0.136364,-0.186845,-0
250,10,1,3.63521,0.952697,2862.24,0.289044,3,2,122,0,135.394,3.81079,-0.102311,-3.20626e-05,-0.000530655,0.114734,-0.187434,-0
251,11,1,3.60563,0.952691,2849.48,0.286016,4,0,122,0,134.805,3.81077,-0.132067,-0,-0.000943387,0.114734,-0.186862,-0
252,12,1,3.59854,0.95269,2843.08,0.284278,4,1,116,0,134.507,3.81076,-0.133494,-3.46219e-07,-0.000943387,0.109091,-0.186868,-0
253,13,1,3.59924,0.952689,2846.14,0.285117,4,0,118,0,134.655,3.81075,-0.134672,-0,-0.000943387,0.110972,-0.186873,-0
254,14,1,3.66362,0.952686,2829.2,0.286174,2,3,120,0,133.862,3.81074,-0.07141,-0.000260042,-0.000235847,0.112853,-0.188071,-0
255,15,1,3.5982,0.952693,2824.44,0.285114,4,1,114,0,133.615,3.81077,-0.131988,-9.47977e-09,-0.000943387,0.10721,-0.186854,-0
256,16,1,3.59726,0.952689,2819.32,0.284261,4,0,115,0,133.385,3.81076,-0.133827,-0,-0.000943387,0.10815,-0.186871,-0
257,17,1,3.63424,0.952684,2876.08,0.29156,3,2,122,0,136.085,3.81074,-0.103076,-0.000140932,-0.000530655,0.114734,-0.187485,-0
258,18,1,3.33536,0.952699,3317.56,0.359883,11,10,143,0,156.924,3.8108,-0.419858,-0.000241293,-0.00713436,0.134483,-0.18268,-0
259,19,1,3.5259,0.952702,3174.18,0.341107,6,6,149,0,150.133,3.81081,-0.237149,-0.000130643,-0.00212262,0.140125,-0.185635,-0
260,20,1,3.59308,0.952702,3133.14,0.33862,4,8,147,0,148.191,3.81081,-0.167727,-0.000477615,-0.000943387,0.138245,-0.18682,-0
261,21,1,3.51965,0.952705,3136.86,0.341177,6,4,143,0,148.358,3.81082,-0.237658,-0.000246739,-0.00212262,0.134483,-0.185622,-0
262,22,1,3.46094,0.952707,3112.7,0.339996,8,3,145,0,147.21,3.81083,-0.297936,-0.000108613,-0.00377355,0.136364,-0.184429,-0
263,23,1,3.62915,0.952695,2245.2,0.237801,2,1,77,0,106.209,3.81078,-0.0656403,-0.000130885,-0.000235847,0.0724138,-0.188033,-0
264,0,1,3.65333,0.952669,1599.84,0.159848,0,0,34,0,75.7217,3.81068,-0,-0,-0,0.0319749,-0.189323,-0
265,1,1,3.65431,0.952674,1608.56,0.163282,0,0,35,0,76.1263,3.8107,-0,-0,-0,0.0329154,-0.189303,-0
266,2,1,3.6544,0.952686,1594.64,0.160311,0,0,35,0,75.4485,3.81074,-0,-0,-0,0.0329154,-0.189255,-0
267,3,1,3.64684,0.952681,1598.66,0.156651,0,0,27,0,75.6469,3.81072,-0,-0,-0,0.0253919,-0.189276,-0
268,4,1,3.65154,0.952681,1609.96,0.159709,0,0,32,0,76.1814,3.81072,-0,-0,-0,0.030094,-0.189275,-0
269,5,1,3.65334,0.952671,1676.72,0.166071,0,0,34,0,79.3571,3.81068,-0,-0,-0,0.0319749,-0.189315,-0
270,6,1,3.67196,0.952706,2345.68,0.238834,1,2,89,0,110.937,3.81082,-0.0337355,-0.000189789,-5.89617e-05,0.0836991,-0.188583,-0
271,7,1,3.62624,0.952706,2635.46,0.274576,3,1,116,0,124.641,3.81082,-0.105702,-4.88739e-05,-0.000530655,0.109091,-0.187397,-0
272,8,1,3.56384,0.952678,2860.76,0.29902,5,3,125,0,135.376,3.81071,-0.176519,-0.000115365,-0.00147404,0.117555,-0.18632,-0
273,9,1,3.61508,0.952692,3145.46,0.319275,4,4,149,0,148.806,3.81077,-0.147885,-0.000126065,-0.000943387,0.140125,-0.18686,-0
274,10,1,3.62873,0.952692,2843.74,0.287461,3,2,117,0,134.532,3.81077,-0.103952,-0.000135268,-0.000530655,0.110031,-0.187454,-0
275,11,1,3.63414,0.952684,2846.92,0.290264,3,2,121,0,134.705,3.81074,-0.102219,-0.000150796,-0.000530655,0.113793,-0.187485,-0
276,12,1,3.59985,0.952694,2850.22,0.282267,4,0,116,0,134.831,3.81078,-0.132228,-0,-0.000943387,0.109091,-0.18685,-0
277,13,1,3.63339,0.952691,2847.82,0.285389,3,2,119,0,134.726,3.81077,-0.101258,-4.48674e-05,-0.000530655,0.111912,-0.187454,-0
278,14,1,3.59746,0.952692,2842.88,0.287346,4,1,114,0,134.491,3.81077,-0.132686,-3.00525e-05,-0.000943387,0.10721,-0.186859,-0
279,15,1,3.62879,0.95269,2842.04,0.281989,3,2,114,0,134.457,3.81076,-0.101069,-0.000124282,-0.000530655,0.10721,-0.18746,-0
280,16,1,3.63068,0.95269,2845.34,0.285556,3,1,118,0,134.612,3.81076,-0.102926,-0.000137502,-0.000530655,0.110972,-0.187459,-0
281,17,1,3.66085,0.95269,2840.14,0.287014,2,3,117,0,134.367,3.81076,-0.0714879,-0.00016973,-0.000235847,0.110031,-0.188053,-0
282,18,1,3.41995,0.952702,3313.78,0.356102,9,9,151,0,156.735,3.81081,-0.343907,-0.000328719,-0.0047759,0.142006,-0.183854,-0
283,19,1,3.48892,0.952706,3170.74,0.350287,7,7,149,0,149.958,3.81082,-0.273792,-0.000322854,-0.00288912,0.140125,-0.185025,-0
284,20,1,3.46214,0.952706,3163.22,0.343736,8,5,143,0,149.601,3.81082,-0.294741,-0.000224975,-0.00377355,0.134483,-0.184431,-0
285,21,1,3.41948,0.952707,3191.88,0.353469,9,5,149,0,150.952,3.81083,-0.342645,-0.00022219,-0.0047759,0.140125,-0.183833,-0
286,22,1,3.47072,0.952702,3191.02,0.354433,7,7,146,0,150.93,3.81081,-0.289012,-0.000444275,-0.00288912,0.137304,-0.185042,-0
287,23,1,3.63534,0.952692,2275.8,0.238001,2,1,83,0,107.663,3.81077,-0.0650845,-0.00011676,-0.000235847,0.0780564,-0.188044,-0
288,0,1,3.65551,0.952706,1479.62,0.160744,0,0,36,0,69.9767,3.81083,-0,-0,-0,0.0338558,-0.189175,-0
289,1,1,3.64986,0.952706,1450.12,0.15502,0,0,30,0,68.582,3.81082,-0,-0,-0,0.0282132,-0.189176,-0
290,2,1,3.65171,0.952702,1454.92,0.156282,0,0,32,0,68.8147,3.81081,-0,-0,-0,0.030094,-0.189192,-0
291,3,1,3.6507,0.952693,1447.64,0.152262,0,0,31,0,68.4829,3.81077,-0,-0,-0,0.0291536,-0.189226,-0
292,4,1,3.6517,0.952701,1449.5,0.152701,0,0,32,0,68.5604,3.8108,-0,-0,-0,0.030094,-0.189197,-0
293,5,1,3.65629,0.952686,1519.34,0.166608,0,0,37,0,71.8855,3.81075,-0,-0,-0,0.0347962,-0.189255,-0
294,6,1,3.64216,0.952705,2255.7,0.248398,2,1,90,0,106.683,3.81082,-0.0649348,-0.000137053,-0.000235847,0.0846395,-0.187993,-0
295,7,1,3.62546,0.952707,2617.88,0.298967,3,5,122,0,123.806,3.81083,-0.111931,-0.000248579,-0.000530655,0.114734,-0.187391,-0
296,8,1,3.62321,0.952702,2677.42,0.304941,3,6,123,0,126.635,3.81081,-0.115084,-0.000251706,-0.000530655,0.115674,-0.187411,-0
297,9,1,3.61457,0.95271,2855.92,0.299805,3,5,120,0,135.056,3.81084,-0.120885,-0.000327916,-0.000530655,0.112853,-0.18738,-0
298,10,1,3.61296,0.952709,2505.62,0.256126,3,0,95,0,118.493,3.81084,-0.0993006,-0,-0.000530655,0.0893417,-0.187385,-0
299,11,1,3.64404,0.952709,2475.46,0.255187,2,1,95,0,117.066,3.81084,-0.0678311,-9.64411e-05,-0.000235847,0.0893417,-0.187977,-0
300,12,1,3.61299,0.952708,2514.24,0.256477,3,0,96,0,118.902,3.81083,-0.10021,-0,-0.000530655,0.0902821,-0.187387,-0
301,13,1,3.61255,0.952704,2485.7,0.257,3,0,96,0,117.563,3.81082,-0.100609,-0,-0.000530655,0.0902821,-0.187405,-0
302,14,1,3.61388,0.952711,2528.26,0.260554,3,0,98,0,119.56,3.81084,-0.101218,-0,-0.000530655,0.092163,-0.187379,-0
303,15,1,3.6117,0.952705,2521.02,0.253441,3,0,94,0,119.232,3.81082,-0.0995864,-0,-0.000530655,0.0884013,-0.187402,-0
304,16,1,3.61803,0.952712,2527,0.263401,3,0,102,0,119.498,3.81085,-0.10084,-0,-0.000530655,0.0959248,-0.187375,-0
305,17,1,3.61206,0.952709,2475.62,0.253966,3,0,94,0,117.074,3.81084,-0.0992681,-0,-0.000530655,0.0884013,-0.187384,-0
306,18,1,3.45706,0.95271,3236.44,0.364236,8,7,158,0,153.05,3.81084,-0.313804,-0.000376178,-0.00377355,0.148589,-0.184414,-0
307,19,1,3.41906,0.952709,3155.58,0.365006,9,7,153,0,149.231,3.81084,-0.346715,-0.000340337,-0.0047759,0.143887,-0.183827,-0
308,20,1,3.37709,0.952702,3141.4,0.366098,10,6,147,0,148.583,3.81081,-0.382588,-0.000216855,-0.00589617,0.138245,-0.183262,-0
309,21,1,3.38547,0.952714,3153.72,0.371007,10,9,152,0,149.126,3.81086,-0.378863,-0.000356541,-0.00589617,0.142947,-0.183214,-0
310,22,1,3.37389,0.952718,3083.54,0.367332,10,7,148,0,145.796,3.81087,-0.386592,-0.000476492,-0.00589617,0.139185,-0.183199,-0
